Date,AAA,BBB,CCC,DDD
2025-04-16,100.00,47.41,148.68,80.03
2025-04-17,99.44,47.66,151.65,80.48
2025-04-18,98.31,46.20,150.33,80.02
2025-04-21,98.33,46.61,153.03,80.08
2025-04-22,97.63,46.69,149.89,81.21
2025-04-23,96.20,45.92,145.46,80.97
2025-04-24,97.30,45.72,145.06,81.70
2025-04-25,97.34,45.10,144.83,81.64
2025-04-28,98.40,44.99,149.67,81.50
2025-04-29,99.82,43.77,152.50,81.22
2025-04-30,102.16,43.53,153.23,82.18
2025-05-01,101.83,43.91,150.25,82.76
2025-05-02,100.83,43.68,151.34,82.10
2025-05-05,101.37,44.59,155.45,83.01
2025-05-06,103.08,44.20,158.23,82.32
2025-05-07,103.50,43.26,161.20,82.58
2025-05-08,103.46,42.89,160.38,80.70
2025-05-09,104.17,42.95,163.16,80.16
2025-05-12,102.02,42.22,156.57,81.05
2025-05-13,100.68,42.12,158.87,81.57
2025-05-14,102.04,42.68,157.55,81.92
2025-05-15,103.33,42.92,158.07,81.63
2025-05-16,103.03,43.74,152.37,82.72
2025-05-19,103.67,44.81,157.05,82.77
2025-05-20,102.68,44.91,159.96,81.74
2025-05-21,106.02,44.60,162.03,82.29
2025-05-22,106.59,45.40,165.96,83.23
2025-05-23,104.56,45.26,165.86,83.21
2025-05-26,103.93,45.75,166.34,83.51
2025-05-27,103.56,45.52,170.64,83.46
2025-05-28,104.70,44.71,166.89,83.96
2025-05-29,104.18,44.19,168.52,83.82
2025-05-30,102.39,44.04,166.90,83.29
2025-06-02,102.07,43.90,167.23,83.08
2025-06-03,101.27,43.92,167.32,82.71
2025-06-04,100.78,44.66,163.45,83.71
2025-06-05,100.51,43.32,161.66,83.90
2025-06-06,100.77,42.87,160.47,83.46
2025-06-09,101.02,42.21,161.65,82.98
2025-06-10,101.94,43.12,160.66,82.75
2025-06-11,101.77,44.43,157.83,83.67
2025-06-12,101.29,44.57,156.10,83.40
2025-06-13,102.53,44.41,158.20,83.71
2025-06-16,101.62,44.60,163.82,83.83
2025-06-17,101.25,44.04,160.38,82.76
2025-06-18,102.84,43.32,165.51,82.54
2025-06-19,102.24,43.19,163.61,82.92
2025-06-20,103.65,42.69,168.32,82.97
2025-06-23,103.66,43.30,166.01,82.55
2025-06-24,103.89,42.55,168.62,82.25
2025-06-25,104.59,42.66,174.01,82.95
2025-06-26,104.60,42.79,175.13,83.52
2025-06-27,104.39,43.74,180.47,83.91
2025-06-30,104.27,43.72,183.47,84.18
2025-07-01,104.51,44.48,181.58,83.99
2025-07-02,104.08,45.34,180.19,83.22
2025-07-03,103.67,45.22,179.69,83.77
2025-07-04,104.33,46.30,191.93,83.66
2025-07-07,105.59,45.74,189.86,84.07
2025-07-08,105.02,45.40,195.94,83.40
2025-07-09,106.17,45.59,203.93,83.54
2025-07-10,106.16,46.82,205.12,83.95
2025-07-11,106.75,46.20,205.47,84.12
2025-07-14,106.46,46.35,204.36,83.36
2025-07-15,105.78,45.23,202.85,83.95
2025-07-16,106.82,45.69,199.01,83.89
2025-07-17,106.47,46.30,204.65,85.34
2025-07-18,106.91,45.96,204.19,86.66
2025-07-21,107.79,45.34,202.66,86.84
2025-07-22,107.27,45.03,199.74,86.93
2025-07-23,106.07,44.98,192.16,86.85
2025-07-24,105.84,46.44,186.87,86.91
2025-07-25,106.34,45.90,191.07,86.90
2025-07-28,105.44,45.31,194.22,87.48
2025-07-29,107.08,45.17,199.69,88.23
2025-07-30,106.91,44.96,199.16,88.11
2025-07-31,107.53,43.36,200.70,88.51
2025-08-01,106.64,43.20,198.03,88.61
2025-08-04,107.28,43.35,201.66,89.27
2025-08-05,106.04,43.41,204.82,89.35
2025-08-06,105.25,44.06,197.68,89.56
2025-08-07,105.78,44.58,197.45,89.40
2025-08-08,106.25,44.60,191.75,88.96
2025-08-11,106.58,44.10,191.90,88.63
2025-08-12,107.28,45.32,188.00,88.91
2025-08-13,107.62,44.94,189.77,90.38
2025-08-14,107.79,45.35,194.25,90.35
2025-08-15,106.06,46.01,191.18,88.93
2025-08-18,105.35,45.45,196.75,88.69
2025-08-19,107.17,46.30,196.65,88.42
2025-08-20,108.62,46.85,194.88,88.20
2025-08-21,109.34,47.80,198.85,89.47
2025-08-22,109.63,47.78,205.23,89.33
2025-08-25,111.24,47.10,204.28,89.86
2025-08-26,112.55,47.16,210.97,89.16
2025-08-27,112.00,47.19,212.63,88.47
2025-08-28,113.18,47.04,207.85,88.01
2025-08-29,114.67,46.58,206.29,88.39
2025-09-01,114.20,45.85,201.57,89.26
2025-09-02,112.93,45.71,204.55,89.52
2025-09-03,114.36,45.94,214.03,90.08
2025-09-04,113.41,45.66,210.35,89.50
2025-09-05,112.27,45.89,220.45,89.67
2025-09-08,112.63,46.14,225.60,90.05
2025-09-09,112.57,48.13,225.64,89.84
2025-09-10,112.18,47.91,236.46,89.57
2025-09-11,112.02,47.28,232.04,89.67
2025-09-12,113.35,46.60,227.17,90.07
2025-09-15,114.03,45.98,220.60,90.13
2025-09-16,112.37,46.46,215.19,89.74
2025-09-17,112.20,46.47,219.69,89.56
2025-09-18,113.40,46.65,222.04,89.89
2025-09-19,112.60,46.58,214.95,90.28
2025-09-22,114.06,46.75,203.68,90.10
2025-09-23,114.84,47.24,204.09,90.33
2025-09-24,115.41,47.92,205.78,90.51
2025-09-25,116.54,47.87,208.85,90.53
2025-09-26,116.42,49.24,199.10,90.34
2025-09-29,117.03,49.48,201.78,90.13
2025-09-30,118.15,48.33,193.20,89.68
2025-10-01,117.90,48.27,205.05,89.29
2025-10-02,117.20,46.92,194.87,89.17
2025-10-03,119.55,46.50,201.11,89.01
2025-10-06,119.93,46.46,206.65,89.46
2025-10-07,119.94,46.56,205.70,89.35
2025-10-08,120.36,46.43,204.01,88.68
2025-10-09,119.09,46.18,199.03,88.52
2025-10-10,120.12,46.40,194.36,88.39
2025-10-13,120.16,46.53,193.01,88.55
2025-10-14,119.87,46.13,193.51,89.27
2025-10-15,118.88,46.11,192.44,90.08
2025-10-16,119.15,46.40,188.59,90.87
2025-10-17,121.03,47.68,193.39,90.12
2025-10-20,121.63,46.93,191.19,89.32
2025-10-21,121.08,47.71,191.41,89.34
2025-10-22,118.97,49.08,187.11,89.36
2025-10-23,117.78,48.71,183.00,90.09
2025-10-24,116.46,48.11,183.34,90.65
2025-10-27,116.52,48.76,180.65,89.89
2025-10-28,115.70,48.50,170.51,89.60
2025-10-29,114.75,49.56,169.45,88.87
2025-10-30,114.84,50.45,174.33,88.61
2025-10-31,113.28,50.43,175.89,88.80
2025-11-03,112.61,49.99,173.48,89.04
2025-11-04,111.81,50.22,176.72,89.69
2025-11-05,113.26,50.26,182.92,90.31
2025-11-06,112.91,50.37,180.55,90.61
2025-11-07,113.15,49.12,182.08,90.24
2025-11-10,113.11,48.33,181.12,90.72
2025-11-11,113.87,49.26,183.90,90.80
2025-11-12,113.36,48.11,184.20,90.23
2025-11-13,114.47,47.29,185.19,90.46
2025-11-14,113.40,47.97,182.73,90.02
2025-11-17,112.76,47.55,172.74,89.62
2025-11-18,112.45,46.91,175.30,89.43
2025-11-19,112.18,46.90,173.51,89.18
2025-11-20,112.76,47.59,169.96,88.89
2025-11-21,111.91,48.22,173.01,89.07
2025-11-24,113.34,48.46,171.39,89.48
2025-11-25,110.76,49.60,168.24,88.98
2025-11-26,112.00,47.97,167.07,89.79
2025-11-27,113.25,47.74,168.80,89.34
2025-11-28,112.70,48.08,165.40,89.63
2025-12-01,111.07,46.94,169.48,88.84
2025-12-02,110.15,46.68,174.48,88.00
2025-12-03,110.94,46.78,176.97,88.69
2025-12-04,109.09,47.02,174.70,88.84
2025-12-05,109.55,47.08,176.92,89.08
2025-12-08,110.58,47.79,169.01,87.75
2025-12-09,109.86,47.24,165.64,88.83
2025-12-10,110.20,47.40,164.54,89.10
2025-12-11,109.90,47.16,169.95,89.75
2025-12-12,110.86,46.50,165.05,89.82
2025-12-15,111.58,46.98,167.52,90.34
2025-12-16,111.91,46.72,174.27,90.33
2025-12-17,109.69,47.55,179.29,90.81
2025-12-18,106.92,48.65,178.03,90.88
2025-12-19,105.30,48.84,182.13,90.88
2025-12-22,104.99,48.97,181.05,90.21
2025-12-23,104.21,49.31,184.97,91.20
2025-12-24,102.85,48.49,184.64,92.24
2025-12-25,103.21,47.36,180.24,92.98
2025-12-26,102.08,47.93,175.48,92.60
2025-12-29,101.31,49.31,177.77,92.24
2025-12-30,101.27,48.27,179.53,92.79
2025-12-31,102.58,48.49,176.37,92.72
